Concentration,Measurement
60,2.268328446
60,2.272434018
60,2.26627566
60,2.279472141
60,2.26627566
60,2.274193548
60,2.279472141
60,2.270674487
60,2.279472141
60,2.273431085
60,2.273431085
70,2.282404692
70,2.288856305
70,2.287683284
70,2.288856305
70,2.281818182
70,2.271260997
70,2.279472141
70,2.27829912
70,2.273607038
70,2.282404692
70,2.282991202
80,2.282991202
80,2.288269795
80,2.294721408
80,2.288856305
80,2.285337243
80,2.291202346
80,2.288269795
80,2.292961877
80,2.290029326
80,2.288269795
80,2.287683285
90,2.282404692
90,2.288856305
90,2.288269795
90,2.288269795
90,2.292375367
90,2.288269795
90,2.288269795
90,2.288856305
90,2.282991202
90,2.281231672
90,2.288269795
90,2.286979472
100,2.283577713
100,2.273607
100,2.279472141
100,2.285337243
100,2.280498524
100,2.280498524
100,2.280498524
100,2.280498524
100,2.280498524
100,2.280498524
100,2.280498524
100,2.280498524
